1744662588.156057 server started (2863): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1744662588.156071 on Linux 5.15.167.4-microsoft-standard-WSL2 #1 SMP Tue Nov 5 00:21:55 UTC 2024
1744662588.156075 using libevent 2.1.12-stable poll
1744662588.156077 using ncurses 6.4 20240113
1744662588.156210 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1744662588.156212 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1744662588.156217 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1744662588.156219 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1744662588.156220 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1744662588.156222 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1744662588.156223 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1744662588.156225 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1744662588.156226 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1744662588.156228 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1744662588.156229 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1744662588.156231 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1744662588.156232 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1744662588.156234 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1744662588.156236 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1744662588.156237 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1744662588.156239 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1744662588.156240 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1744662588.156242 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1744662588.156243 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1744662588.156245 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1744662588.156246 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1744662588.156248 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1744662588.156250 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1744662588.156251 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1744662588.156253 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1744662588.156254 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1744662588.156256 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1744662588.156257 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1744662588.156259 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1744662588.156260 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1744662588.156262 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1744662588.156263 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1744662588.156265 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1744662588.156267 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1744662588.156269 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1744662588.156270 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1744662588.156272 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1744662588.156273 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1744662588.156275 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1744662588.156277 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1744662588.156278 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1744662588.156280 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1744662588.156281 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1744662588.156283 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1744662588.156284 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1744662588.156286 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1744662588.156287 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1744662588.156289 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1744662588.156290 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1744662588.156292 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1744662588.156294 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1744662588.156296 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1744662588.156297 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1744662588.156299 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1744662588.156300 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1744662588.156302 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1744662588.156303 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1744662588.156305 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1744662588.156308 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1744662588.156310 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1744662588.156311 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1744662588.156313 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1744662588.156314 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1744662588.156316 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1744662588.156317 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1744662588.156319 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1744662588.156321 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1744662588.156322 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1744662588.156324 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1744662588.156325 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1744662588.156327 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1744662588.156329 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1744662588.156331 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1744662588.156332 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1744662588.156334 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1744662588.156335 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1744662588.156337 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1744662588.156338 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1744662588.156340 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1744662588.156341 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1744662588.156343 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1744662588.156344 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1744662588.156346 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1744662588.156348 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1744662588.156349 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1744662588.156351 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1744662588.156353 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1744662588.156354 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1744662588.156356 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1744662588.156357 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1744662588.156359 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1744662588.156361 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1744662588.156363 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1744662588.156365 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1744662588.156367 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1744662588.156368 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1744662588.156370 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1744662588.156371 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1744662588.156373 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1744662588.156374 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1744662588.156376 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1744662588.156378 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1744662588.156379 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1744662588.156381 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1744662588.156383 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1744662588.156384 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1744662588.156386 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1744662588.156387 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1744662588.156389 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1744662588.156391 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1744662588.156392 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1744662588.156394 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1744662588.156396 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1744662588.156399 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1744662588.156401 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1744662588.156402 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1744662588.156404 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1744662588.156406 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1744662588.156407 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1744662588.156409 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1744662588.156411 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1744662588.156412 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1744662588.156414 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1744662588.156416 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1744662588.156418 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1744662588.156419 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1744662588.156421 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1744662588.156423 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1744662588.156424 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1744662588.156426 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1744662588.156427 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1744662588.156429 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1744662588.156431 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1744662588.156432 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1744662588.156434 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1744662588.156435 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1744662588.156437 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1744662588.156438 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1744662588.156440 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1744662588.156442 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1744662588.156443 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1744662588.156445 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1744662588.156447 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1744662588.156448 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1744662588.156451 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1744662588.156453 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1744662588.156454 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1744662588.156456 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1744662588.156458 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1744662588.156459 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1744662588.156461 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1744662588.156462 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1744662588.156464 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1744662588.156466 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1744662588.156468 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1744662588.156469 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1744662588.156471 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1744662588.156473 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1744662588.156475 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1744662588.156485 yylex_token: end at WS
1744662588.156486 yylex_token: bind
1744662588.156488 yylex_token: end at WS
1744662588.156490 yylex_token: -N
1744662588.156492 yylex_token: end at WS
1744662588.156493 yylex_token: Send the prefix key
1744662588.156495 yylex_token: end at WS
1744662588.156496 yylex_token: C-b
1744662588.156497 yylex_token: end at WS
1744662588.156498 yylex_token: send-prefix
1744662588.156503 cmd_parse_build_commands 0:0: bind
1744662588.156507 cmd_parse_build_commands 0:1: -N
1744662588.156508 cmd_parse_build_commands 0:2: Send the prefix key
1744662588.156510 cmd_parse_build_commands 0:3: C-b
1744662588.156511 cmd_parse_build_commands 0:4 0:0: send-prefix
1744662588.156517 cmd_parse_build_commands 0:0: send-prefix
1744662588.156523 args_parse: flags end at 1 of 1
1744662588.156526 cmd_parse_build_commands: send-prefix
1744662588.156527 args_parse_flags: next -N
1744662588.156529 args_parse_flag_argument: -N = Send the prefix key
1744662588.156531 args_parse_flags: next C-b
1744662588.156532 args_parse: flags end at 3 of 5
1744662588.156534 args_parse: 3 = C-b (type STRING)
1744662588.156536 args_parse: 4 = send-prefix (type COMMANDS)
1744662588.156541 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1744662588.156544 cmdq_get_command: [bind-key/0x559a32651970] group 2
1744662588.156546 cmdq_append <global>: [bind-key/0x559a32651970]
1744662588.156548 yylex_token: end at WS
1744662588.156550 yylex_token: bind
1744662588.156551 yylex_token: end at WS
1744662588.156552 yylex_token: -N
1744662588.156554 yylex_token: end at WS
1744662588.156555 yylex_token: Rotate through the panes
1744662588.156557 yylex_token: end at WS
1744662588.156558 yylex_token: C-o
1744662588.156560 yylex_token: end at WS
1744662588.156561 yylex_token: rotate-window
1744662588.156563 cmd_parse_build_commands 0:0: bind
1744662588.156565 cmd_parse_build_commands 0:1: -N
1744662588.156566 cmd_parse_build_commands 0:2: Rotate through the panes
1744662588.156568 cmd_parse_build_commands 0:3: C-o
1744662588.156570 cmd_parse_build_commands 0:4 0:0: rotate-window
1744662588.156572 cmd_parse_build_commands 0:0: rotate-window
1744662588.156575 args_parse: flags end at 1 of 1
1744662588.156576 cmd_parse_build_commands: rotate-window
1744662588.156578 args_parse_flags: next -N
1744662588.156580 args_parse_flag_argument: -N = Rotate through the panes
1744662588.156581 args_parse_flags: next C-o
1744662588.156582 args_parse: flags end at 3 of 5
1744662588.156584 args_parse: 3 = C-o (type STRING)
1744662588.156585 args_parse: 4 = rotate-window (type COMMANDS)
1744662588.156589 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1744662588.156591 cmdq_get_command: [bind-key/0x559a32651f90] group 10
1744662588.156593 cmdq_append <global>: [bind-key/0x559a32651f90]
1744662588.156595 yylex_token: end at WS
1744662588.156596 yylex_token: bind
1744662588.156597 yylex_token: end at WS
1744662588.156599 yylex_token: -N
1744662588.156600 yylex_token: end at WS
1744662588.156602 yylex_token: Suspend the current client
1744662588.156603 yylex_token: end at WS
1744662588.156604 yylex_token: C-z
1744662588.156606 yylex_token: end at WS
1744662588.156607 yylex_token: suspend-client
1744662588.156609 cmd_parse_build_commands 0:0: bind
1744662588.156611 cmd_parse_build_commands 0:1: -N
1744662588.156612 cmd_parse_build_commands 0:2: Suspend the current client
1744662588.156614 cmd_parse_build_commands 0:3: C-z
1744662588.156615 cmd_parse_build_commands 0:4 0:0: suspend-client
1744662588.156617 cmd_parse_build_commands 0:0: suspend-client
1744662588.156620 args_parse: flags end at 1 of 1
1744662588.156622 cmd_parse_build_commands: suspend-client
1744662588.156623 args_parse_flags: next -N
1744662588.156625 args_parse_flag_argument: -N = Suspend the current client
1744662588.156626 args_parse_flags: next C-z
1744662588.156627 args_parse: flags end at 3 of 5
1744662588.156629 args_parse: 3 = C-z (type STRING)
1744662588.156630 args_parse: 4 = suspend-client (type COMMANDS)
1744662588.156634 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1744662588.156636 cmdq_get_command: [bind-key/0x559a3264fbd0] group 18
1744662588.156637 cmdq_append <global>: [bind-key/0x559a3264fbd0]
1744662588.156654 yylex_token: end at WS
1744662588.156656 yylex_token: bind
1744662588.156658 yylex_token: end at WS
1744662588.156659 yylex_token: -N
1744662588.156661 yylex_token: end at WS
1744662588.156662 yylex_token: Select next layout
1744662588.156667 yylex_token: end at WS
1744662588.156668 yylex_token: Space
1744662588.156670 yylex_token: end at WS
1744662588.156671 yylex_token: next-layout
1744662588.156673 cmd_parse_build_commands 0:0: bind
1744662588.156675 cmd_parse_build_commands 0:1: -N
1744662588.156676 cmd_parse_build_commands 0:2: Select next layout
1744662588.156677 cmd_parse_build_commands 0:3: Space
1744662588.156679 cmd_parse_build_commands 0:4 0:0: next-layout
1744662588.156681 cmd_parse_build_commands 0:0: next-layout
1744662588.156684 args_parse: flags end at 1 of 1
1744662588.156686 cmd_parse_build_commands: next-layout
1744662588.156688 args_parse_flags: next -N
1744662588.156689 args_parse_flag_argument: -N = Select next layout
1744662588.156690 args_parse_flags: next Space
1744662588.156692 args_parse: flags end at 3 of 5
1744662588.156693 args_parse: 3 = Space (type STRING)
1744662588.156695 args_parse: 4 = next-layout (type COMMANDS)
1744662588.156699 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1744662588.156701 cmdq_get_command: [bind-key/0x559a326502c0] group 26
1744662588.156702 cmdq_append <global>: [bind-key/0x559a326502c0]
1744662588.156705 yylex_token: end at WS
1744662588.156706 yylex_token: bind
1744662588.156707 yylex_token: end at WS
1744662588.156708 yylex_token: -N
1744662588.156710 yylex_token: end at WS
1744662588.156711 yylex_token: Break pane to a new window
1744662588.156713 yylex_token: end at WS
1744662588.156714 yylex_token: !
1744662588.156716 yylex_token: end at WS
1744662588.156717 yylex_token: break-pane
1744662588.156718 cmd_parse_build_commands 0:0: bind
1744662588.156720 cmd_parse_build_commands 0:1: -N
1744662588.156721 cmd_parse_build_commands 0:2: Break pane to a new window
1744662588.156723 cmd_parse_build_commands 0:3: !
1744662588.156724 cmd_parse_build_commands 0:4 0:0: break-pane
1744662588.156726 cmd_parse_build_commands 0:0: break-pane
1744662588.156728 args_parse: flags end at 1 of 1
1744662588.156729 cmd_parse_build_commands: break-pane
1744662588.156731 args_parse_flags: next -N
1744662588.156732 args_parse_flag_argument: -N = Break pane to a new window
1744662588.156734 args_parse_flags: next !
1744662588.156735 args_parse: flags end at 3 of 5
1744662588.156736 args_parse: 3 = ! (type STRING)
1744662588.156738 args_parse: 4 = break-pane (type COMMANDS)
1744662588.156741 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1744662588.156743 cmdq_get_command: [bind-key/0x559a32650990] group 34
1744662588.156745 cmdq_append <global>: [bind-key/0x559a32650990]
1744662588.156747 yylex_token: end at WS
1744662588.156748 yylex_token: bind
1744662588.156749 yylex_token: end at WS
1744662588.156750 yylex_token: -N
1744662588.156752 yylex_token: end at WS
1744662588.156753 yylex_token: Split window vertically
1744662588.156755 yylex_token: end at WS
1744662588.156756 yylex_token: "
1744662588.156757 yylex_token: end at WS
1744662588.156759 yylex_token: split-window
1744662588.156760 cmd_parse_build_commands 0:0: bind
1744662588.156762 cmd_parse_build_commands 0:1: -N
1744662588.156763 cmd_parse_build_commands 0:2: Split window vertically
1744662588.156764 cmd_parse_build_commands 0:3: "
1744662588.156766 cmd_parse_build_commands 0:4 0:0: split-window
1744662588.156768 cmd_parse_build_commands 0:0: split-window
1744662588.156770 args_parse: flags end at 1 of 1
1744662588.156772 cmd_parse_build_commands: split-window
1744662588.156773 args_parse_flags: next -N
1744662588.156775 args_parse_flag_argument: -N = Split window vertically
1744662588.156776 args_parse_flags: next "
1744662588.156777 args_parse: flags end at 3 of 5
1744662588.156779 args_parse: 3 = " (type STRING)
1744662588.156780 args_parse: 4 = split-window (type COMMANDS)
1744662588.156783 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1744662588.156785 cmdq_get_command: [bind-key/0x559a32652d70] group 42
1744662588.156787 cmdq_append <global>: [bind-key/0x559a32652d70]
1744662588.156789 yylex_token: end at WS
1744662588.156792 yylex_token: bind
1744662588.156794 yylex_token: end at WS
1744662588.156795 yylex_token: -N
1744662588.156797 yylex_token: end at WS
1744662588.156798 yylex_token: List all paste buffers
1744662588.156799 yylex_token: end at WS
1744662588.156800 yylex_token: #
1744662588.156802 yylex_token: end at WS
1744662588.156803 yylex_token: list-buffers
1744662588.156805 cmd_parse_build_commands 0:0: bind
1744662588.156806 cmd_parse_build_commands 0:1: -N
1744662588.156808 cmd_parse_build_commands 0:2: List all paste buffers
1744662588.156809 cmd_parse_build_commands 0:3: #
1744662588.156811 cmd_parse_build_commands 0:4 0:0: list-buffers
1744662588.156812 cmd_parse_build_commands 0:0: list-buffers
1744662588.156815 args_parse: flags end at 1 of 1
1744662588.156816 cmd_parse_build_commands: list-buffers
1744662588.156817 args_parse_flags: next -N
1744662588.156819 args_parse_flag_argument: -N = List all paste buffers
1744662588.156820 args_parse_flags: next #
1744662588.156821 args_parse: flags end at 3 of 5
1744662588.156823 args_parse: 3 = # (type STRING)
1744662588.156824 args_parse: 4 = list-buffers (type COMMANDS)
1744662588.156828 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1744662588.156829 cmdq_get_command: [bind-key/0x559a326536e0] group 50
1744662588.156831 cmdq_append <global>: [bind-key/0x559a326536e0]
1744662588.156835 yylex_token: end at WS
1744662588.156836 yylex_token: bind
1744662588.156837 yylex_token: end at WS
1744662588.156839 yylex_token: -N
1744662588.156840 yylex_token: end at WS
1744662588.156841 yylex_token: Rename current session
1744662588.156843 yylex_token: end at WS
1744662588.156844 yylex_token: $
1744662588.156845 yylex_token: end at WS
1744662588.156847 yylex_token: command-prompt
